EVENT_ID,NAME_2,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,ID_0,,
673010,DOUGHERTY CO.,PRETORIA,1/22/2017,1515,Tornado, ,EF3,5,32,300000000,0,GA,EST-5, ,112358,C,95,TAE,0,0,NWS Storm Survey, ,23.36,2200,5,SSW,3,N,ACREE,1/22/2017,1537,31.4373,-84.3447,31.5989,-83.9964,"A large, long-track tornado touched down near Dougherty/Baker Co. line and traveled over 70 miles across Dougherty, Worth, Turner, and Wilcox Counties in South Georgia. The tornado lifted just east of Abbeville. The tornado caused significant damage along the track, resulting in 5 fatalities in Albany. Severe tree damage was observed along the entire path which was up to 1.2 miles wide. In many spots, 90 to 100 percent of the trees in the path were uprooted or snapped. In Dougherty County, the tornado touched down on Tarva Road. By the time it reached Newton, the tornado was approximately 1.25 miles wide. There was extensive tree damage and some minor to moderate damage to a few homes in this area, consistent with EF2 damage. The tornado moved through the Radium Springs area, destroying nearly every tree in its path and causing EF2 damage to several houses. Most houses in this area had significant damage from falling trees. The tornado then moved through several mobile home parks just west of U.S. 319, destroying many mobile homes and causing the 4 fatalities. Damage consistent with an EF3 tornado was observed just east of U.S. 319. The tornado caused a large portion of a warehouse at the Proctor and Gamble Plant to collapse and tossed several semi-trailers across Mock Road. Additional EF3 damage was observed at the Marine Corp Logistics Base, where multiple anchored double-wide trailers were completely destroyed. In addition, several concrete light poles were snapped near the base, and a large solid concrete building had its solid concrete roof shifted more than 2 inches. A well-built concrete block church on Sylvester Rd was demolished with only parts of a few walls remaining. The estimated wind speed at this point is 150 mph, the highest analyzed along the track. EF3 damage was also observed on Harris Road where a cement block church was destroyed.  Damage estimates exceeded $300 million according to a media article citing the Dougherty County Commissioner.","A multi-day severe weather event struck the southeast January 21-22, 2017 with three rounds of severe weather moving through the area. The first round of severe weather started during the mid-morning hours on Saturday, January 21, 2017 as a squall line pushed into southeast Alabama and the Florida panhandle. As it pushed eastward nine warnings were issued with a total of 18 damaging wind reports (trees and power lines downed) related to these storms. ||After a brief lull during Saturday evening as the aforementioned squall line washed out near the Gulf Coast, strong southerly flow returned late Saturday night as a warm front pushed northward across the Florida Big Bend and southern Georgia. Initially with this late Saturday night to early Sunday morning event, a strong supercell moved across southern Georgia producing a tornado that moved across Thomas and northern Brooks Counties. This was the first tornado across the area with this multi- day event. From the same supercell that produced the tornado in Thomas and northern Brooks Counties, another tornado developed that tracked across Brooks, Berrien and Cook Counties and this tornado resulted in 11 fatalities. This overnight into early Sunday morning event produced one more tornado, an EF-1 that struck Lowndes County. ||A final round of severe weather moved through Sunday afternoon as a warm front continued to push northward into southeast Alabama and southern Georgia while the main low and trailing cold front pushed eastward across the Florida panhandle and offshore regions. This afternoon round of supercells first produced a tornado in Henry County, AL. An hour and a half after the Henry County tornado, two more tornadoes developed, an EF-2 that struck Clay, Randolph and Calhoun Counties (Georgia) and an EF-1 tornado that hit Franklin County, FL. After this, a long tracked tornado (track length of more than 70 miles) moved across Albany (Dougherty County) and into Worth and Turner Counties, causing extensive damage and five fatalities. ||Overall this multi-day event resulted in seven tornadoes, 16 deaths and numerous injuries. Three days of damage surveys were conducted to rate the tornadoes on the Enhanced Fujita scale.",11,244,,
9993549,DAWSON CO., ,4/3/1974,1845,Tornado,0,F4,5,13,2500000,0,GA,CST, , ,C,85, ,0,0, , ,6.8,200,0, ,0, , ,4/3/1974,1845,34.45,-84.25,34.5,-84.15,,,12,244,,
10319529,COBB CO.,Smyrna,6/30/1995,1838,Tornado,0,F1,4,250,0,0,GA,EST, , ,C,67, ,0,0, , ,0.1,10,0, ,0, , ,6/30/1995,1838,33.88,-84.52, , ,"A preliminary survey confirmed a small F1 tornado touched down for less than 30 seconds.  Path width 30 yards...Length 100 yards.  A Dairy Queen sustained the worst damage, as the roof was completely destroyed.  A pay phone on the southeast side of the building held the roof up, sparing the lives of the 30 people inside.  Four of the occupants sustained minor injuries.  A business sign next door to the restaurant was knocked over.  A Chevy van was picked up and moved although there appeared to be only slight cosmetic damage to it. ",,13,244,,
5347027,MITCHELL CO.,CAMILLA,3/20/2003,505,Tornado, ,F3,4,200,6000000,0,GA,EST, ,1148975,C,205,TAE,0,0,NWS STORM SURVEY, ,19,600,5,SW,5,SW,CAMILLA,3/20/2003,525,31.18333,-84.26667,31.35,-84.01667,"An F2 tornado touched down near Branchville, and traveled northeast.  Its path was similar to the February 14, 2000 tornado.  The tornado intensified to F3 as it passed just south of Camilla, then weakened as it neared the Mitchell-Worth County line.  The tornado destroyed 66 homes, and damaged 200 homes and businesses.  Numerous trees and power lines were down.  At least three dozen roads were closed by debris.  The tornado claimed four lives and injured 200.  The hardest hit area was in the Goodson Road area of Camilla.  A state of emergency was declared for Mitchell County.  Reported by the Mitchell County EMA and CAP/NWS aerial survey team.",,14,244,,
10010604,PUTNAM CO., ,11/22/1992,1545,Tornado,0,F4,4,55,25000000,0,GA,EST, , ,C,237, ,0,0, , ,20,867,0, ,0, , ,11/22/1992,1545,33.18,-83.45,33.42,-83.2,,,15,244,,
9995750,FULTON CO., ,3/24/1975,528,Tornado,0,F3,3,152,250000000,0,GA,CST, , ,C,121, ,0,0, , ,14.8,500,0, ,0, , ,3/24/1975,528,33.77,-84.53,33.9,-84.33,,,16,244,,
10321067,LEE CO.,Albany to,10/30/1993,430,Tornado,0,F2,3,27,50000000,0,GA,EST, , ,C,177, ,0,0, , ,5,750,5,N,10,NE,Albany,10/30/1993,445,31.67,-84.17,31.7,-84.03,"A tornado struck a subdivision five miles north of Albany and killed three people and injured another 27.  At least 42 homes were destroyed or severely damaged.  Also, fifteen mobile homes were completely destroyed by the F2 tornado.  The three fatalities occurred in a mobile home and all three victims bodies were blown 75 to 150 feet away from the dwelling.  Most of the damaged or destroyed homes were two story with brick or stucco exterior. 
Several residents noted that the tornado sounded like a freight train as it passed overhead.  One elderly lady stated that her dog became restless and started barking 20 minutes before the tornado struck her home.  Continuous lightning was observed by several residents prior to and after the tornado touchdown.   
Several cars were destroyed by fallen trees or wind blown debris.  Most of the trees downed by the tornado winds were 60 to 70 feet tall Southern Pine.  Most trees were snapped in half and laid to rest in a general northeast direction. Property damage estimates topped $12 million dollars. 
The tornado stayed on the ground most of its lifetime and varied in width from one-quarter to one-half mile.  The damage path was approximately five miles long and ran in a SW to NE direction.  The forward speed of the tornado was 60 miles an hour. (F32M)(M14M)(M8M) ",,17,244,,
5639380,LONG CO.,DONALD,4/9/1998,535,Tornado, ,F2,3,24,200000,0,GA,EST, ,2075162,C,183,CHS,0,0, , ,2.5,400,4,ENE,6,ENE,DONALD,4/9/1998,545,31.83,-81.78,31.85,-81.75,Tornado touched down in the Rye Patch Community where 3 people died (all were in mobile homes).Ten mobile homes were destroyed and two others were damaged along with a roof blown off a block house. Numerous trees were uprooted or snapped off above the ground.,,18,244,,
10000336,MCDUFFIE CO., ,5/24/1955,1930,Tornado,0,F0,3,0,2500,0,GA,CST, , ,C,189, ,0,0, , ,1,50,0, ,0, , ,5/24/1955,1930,33.45,-82.52, , ,,,19,244,,
10001454,MUSCOGEE CO., ,4/18/1953,1750,Tornado,0,F3,2,300,25000000,0,GA,CST, , ,C,215, ,0,0, , ,5.1,400,0, ,0, , ,4/18/1953,1750,32.5,-85,32.48,-84.92,,,20,244,,
5633551,WHITE CO.,CLEVELAND,3/20/1998,635,Tornado, ,F3,2,75,5000000,0,GA,EST, ,2073908,C,311,FFC,0,0, , ,4,100,5,S,4,SE,CLEVELAND,3/20/1998,640,34.53,-83.75,34.57,-83.7,,"The tornado began in northwest Hall county and moved into southern White county. Total distance covered was about 13 miles.  Aerial and ground surveys by NWS employees showed extensive damage along the path. There was significant damage to Lanier Elementary School and North Hall High School. Houses, trailers, businesses, and agricultural interests (namely the poultry industry) were demolished or damaged. Large areas of forest  were flattened. A tractor-trailer truck was thrown 100 feet from the road into a school, killing the driver. All of the other 11 persons killed were in mobile homes. The damage path varied from 50 to 200 yards, but averaged around 100 yards wide.",21,244,,
9995713,PEACH CO., ,2/18/1975,1508,Tornado,0,F3,2,50,25000000,0,GA,CST, , ,C,225, ,0,0, , ,9.7,300,0, ,0, , ,2/18/1975,1508,32.55,-83.93,32.55,-83.77,,,22,244,,
9993540,WHITFIELD CO., ,4/3/1974,1650,Tornado,0,F4,2,25,2500000,0,GA,CST, , ,C,313, ,0,0, , ,3.3,150,0, ,0, , ,4/3/1974,1650,34.57,-84.97,34.6,-84.93,,,23,244,,
304631,DADE CO.,GASS,4/27/2011,1635,Tornado, ,EF3,2,25,20000000,0,GA,EST-5, ,50924,C,83,FFC,0,0,NWS Storm Survey, ,9.52,1056,2,WSW,2,S,WEST BROW,4/27/2011,1645,34.8431,-85.5799,34.8924,-85.423,"A damage survey conducted by the National Weather Service Forecast Office in Peachtree City confirmed that an EF3 tornado, which originated in DeKalb county, Alabama, continued on an east-northeast track into and across central Dade county, Georgia and further east-northeast into Walker county before lifting just west of Fort Oglethorpe.  The tornado path length within Dade county, Georgia was approximately 9.5 miles, while the path length within Georgia was 18 miles long.  The tornado was determined, within Georgia, to have a maximum path width of 0.6 mile and maximum winds of 150 mph.  The tornado tracked directly across the county seat of Dade county, namely Trenton.  Trenton is also the largest city in Dade county.  Portions of Trenton, especially the southern part of the city, were literally destroyed.  Dozens of homes were completely destroyed.  Eighteen more homes suffered major damage.  Literally tens of thousands of trees were blown down, uprooted, or splintered.  Some of the worst devastation was observed in the Black Valley Road area, including the Middleton Estates subdivision and along U.S. Highway 11 and Georgia Highway 136.  Considerable damage was also noted to apartments and several commercial buildings as well.  The Edgewood Townhouses and Village Green Apartments suffered extensive damage.  Among commercial structures sustaining damages were the Moore and Ryan Funeral Home along with an Ingles Grocery Store.  Two fatalities and 25 injuries occurred as a result of this tornado, mostly in Trenton.||[04/27-04/28/11:  Tornado #2, County #1-2, EF2, Dade-Walker, 2011:011].","A highly diffluent, deep upper trough, centered across Texas, took on a negative tilt and began to rotate northeast during this period.  A strong maritime-Pacific (mP) cold front accompanied the upper trough through the mid-south into the southeast from the early morning hours of the 27th to the early morning hours of the 28th.  An intense low-level jet with winds in excess of 70 knots was noted in advance of this system and tracked across the mid-south early on the 27th, across north Alabama and north Georgia into the early morning hours of the 28th.  West-southwest winds aloft were highly diffluent and near 200 mph across this same region.  The strong low-level jet brought unseasonably, warm, moist Gulf air northward in advance of the mP cold front.  Dewpoints in the 70s and maximum temperatures in the 80s combined with the extremely strong low-level and upper jets to create an almost perfect environment for severe thunderstorms and large devastating tornadoes.  Indeed, the tornado outbreak that affected much of the eastern U.S., but particularly the south central and southeastern U.S. during this period, was unprecedented and likely the largest recorded in U.S. history.  The tornado outbreak that accompanied this combination of weather features has been termed the 2011 Super Outbreak, an outbreak even worse than the 1994 and 1974 super tornado outbreaks across the eastern U.S.  The outbreak affected the South Central, Southeast, Midwest, and even the usually less tornado prone Northeastern United States.  Over 330 tornadoes were reported during this outbreak which began on April 25th and continued into the 28th affecting 21 states from Texas to New York.  Even isolated tornadoes were noted in Canada.  Nearly 350 people died from these tornadoes, of which over 230 of these were in Alabama alone.  Four tornadoes on April 27th in Alabama and Mississippi were ranked EF5, the highest tornado damage rating on the Enhanced Fujita Scale.  On average, there is only one EF5 tornado per year in the entire U.S.||Widespread and destructive tornadoes occurred on each day of the outbreak, but April 27th was clearly one of the most prolific and destructive tornado days in U.S. history, probably only surpassed by the Tri-State outbreak of 1925 and the Tupelo-Gainesville outbreak of 1936.  The 24-hour period from 8 am April 27th to 8 a.m. April 28th is listed by the National Oceanic and Atmospheric Administration (NOAA) as the fourth deadliest tornado outbreak in U.S. history, with the 24 hours commencing April 28th at 8 a.m. as the fifth deadliest tornado day in U.S. history.  It has also been determined to be the costliest tornado outbreaks and one of the costliest natural disasters in the U.S., even after adjustments for inflation, with total damages estimated to exceed $10 billion. ||Georgia was heavily impacted by this tornado outbreak, especially the northwest part of the state which bore the brunt of the massive supercell thunderstorms producing killer tornadoes that tracked east-northeast from northern Alabama during the late evening.  All together, there were 15 tornadoes affecting 28 counties within the Peachtree City, Georgia 96-county warning area (CWA) of North and Central Georgia.  All of these occurred within a 24-hour period commencing at 8 am April 27th.  One of these tornadoes was rated an EF4, the first EF4 tornado in Georgia since the Palm Sunday outbreak in 1994.  In addition, there were also four EF3 tornadoes.  Fifteen tornado-related deaths were observed in north and central Georgia, the most tornado-related deaths within the Peachtree City, Georgia forecast area since its inception in 1994.  The previous highest tornado-related death total was 12 on March 20, 1998, when a tornado struck Gainesville, Georgia.||Finally, it should be noted that while the most significant period of severe weather during this outbreak for Georgia was from the afternoon of the 27th through the early morning hours of the 28th, there was an initial round of severe weather across northwest Georgia early on the 27th as a decaying line of severe thunderstorms moved into the region from northeast Alabama.  Widespread wind damage and even a few brief weaker tornadoes accompanied this system into the northwest counties of the state.",24,244,,
10001462,CHATTAHOOCHEE CO., ,3/13/1954,2045,Tornado,0,F3,2,20,25000000,0,GA,CST, , ,C,53, ,0,0, , ,5.1,600,0, ,0, , ,3/13/1954,2045,32.35,-85.02,32.37,-84.93,,,25,244,,
